# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_rom9a8v2/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_rom9a8v2 -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_rom9a8v2
# time: Tue May 18 11:57:16 2021
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
147529-147924_1	9940.ENSOARP00000005876	5.5e-17	94.0	Mammalia													Mammalia	2FJBD@1,2TKSP@2759,39HWR@33154,3CMQA@33208,3E3BW@33213,3JKA6@40674,48MDW@7711,49I56@7742	NA|NA|NA		
387255-387478_1	246437.XP_006160172.1	1.4e-07	62.0	Euarchontoglires	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	35952@314146,38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,COG0459@1,KOG0356@2759,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	store-operated calcium channel activity
424863-425046_1	10090.ENSMUSP00000022023	4.3e-28	129.8	Rodentia	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	35952@314146,38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4Q3DB@9989,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Transient receptor ion channel II
455996-456161_1	109478.XP_005865660.1	4.5e-24	116.3	Chiroptera	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4KUM1@9397,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Belongs to the transient receptor (TC 1.A.4) family
464306-464523_1	10029.XP_007633995.1	3.1e-33	147.1	Rodentia	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	35952@314146,38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4Q3DB@9989,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Transient receptor ion channel II
499767-499989_1	10036.XP_005078452.1	2.4e-36	157.5	Rodentia	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	35952@314146,38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4Q3DB@9989,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Transient receptor ion channel II
748795-749126_1	9818.XP_007941972.1	1.2e-20	105.9	Afrotheria	LECT2	GO:0001501,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0006935,GO:0007275,GO:0008150,GO:0009605,GO:0009966,GO:0009968,GO:0010646,GO:0010648,GO:0023051,GO:0023057,GO:0030111,GO:0030178,GO:0032501,GO:0032502,GO:0040011,GO:0042221,GO:0042330,GO:0042802,GO:0044421,GO:0044424,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0065007											Mammalia	2BF6Y@1,2S16D@2759,355KR@311790,3A216@33154,3BQXI@33208,3D8B1@33213,3JCMZ@40674,48BMF@7711,49B3K@7742	NA|NA|NA	S	Leukocyte cell-derived chemotaxin-2
778730-779726_1	29078.XP_008143048.1	3.9e-147	527.7	Chiroptera	GAPDH	GO:0000226,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005856,GO:0006464,GO:0006807,GO:0006915,GO:0006996,GO:0007010,GO:0007017,GO:0008017,GO:0008092,GO:0008150,GO:0008152,GO:0008219,GO:0009987,GO:0012501,GO:0015630,GO:0015631,GO:0016043,GO:0016491,GO:0016620,GO:0016740,GO:0016769,GO:0016903,GO:0017014,GO:0018119,GO:0018193,GO:0018198,GO:0019538,GO:0019904,GO:0031647,GO:0032991,GO:0035605,GO:0035606,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043891,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050821,GO:0051402,GO:0055114,GO:0065007,GO:0065008,GO:0070997,GO:0071704,GO:0071840,GO:0097452,GO:0097718,GO:0140096,GO:1901564	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147				Mammalia	38DPH@33154,3BA6Z@33208,3CRFX@33213,3J1GB@40674,4830I@7711,48V9Y@7742,4KWKG@9397,COG0057@1,KOG0657@2759	NA|NA|NA	G	Glyceraldehyde-3-phosphate dehydrogenase
805185-805299_1	109478.XP_005865692.1	2.4e-08	63.5	Chiroptera	IL9	GO:0001558,GO:0001817,GO:0001819,GO:0003674,GO:0005102,GO:0005125,GO:0005126,GO:0005140,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0006954,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008284,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010033,GO:0010469,GO:0010556,GO:0010557,GO:0010604,GO:0010646,GO:0019221,GO:0019222,GO:0023051,GO:0023052,GO:0030307,GO:0030545,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032674,GO:0032754,GO:0034097,GO:0038113,GO:0040008,GO:0042035,GO:0042108,GO:0042127,GO:0042221,GO:0044421,GO:0045405,GO:0045407,GO:0045927,GO:0048018,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0070851,GO:0070887,GO:0071104,GO:0071310,GO:0071345,GO:0071355,GO:0080090,GO:0098772		ko:K05432	ko04060,ko04630,ko05310,map04060,map04630,map05310				ko00000,ko00001,ko04052				Mammalia	2FC5T@1,2TDE1@2759,3AKX3@33154,3C0H3@33208,3D78C@33213,3JH0F@40674,48EZQ@7711,49BZK@7742,4KYZV@9397	NA|NA|NA	S	Interleukin-9
806760-806892_1	225400.XP_006753629.1	5.7e-14	82.4	Chiroptera	IL9	GO:0001558,GO:0001817,GO:0001819,GO:0003674,GO:0005102,GO:0005125,GO:0005126,GO:0005140,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0006954,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008284,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010033,GO:0010469,GO:0010556,GO:0010557,GO:0010604,GO:0010646,GO:0019221,GO:0019222,GO:0023051,GO:0023052,GO:0030307,GO:0030545,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032674,GO:0032754,GO:0034097,GO:0038113,GO:0040008,GO:0042035,GO:0042108,GO:0042127,GO:0042221,GO:0044421,GO:0045405,GO:0045407,GO:0045927,GO:0048018,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0070851,GO:0070887,GO:0071104,GO:0071310,GO:0071345,GO:0071355,GO:0080090,GO:0098772		ko:K05432	ko04060,ko04630,ko05310,map04060,map04630,map05310				ko00000,ko00001,ko04052				Mammalia	2FC5T@1,2TDE1@2759,3AKX3@33154,3C0H3@33208,3D78C@33213,3JH0F@40674,48EZQ@7711,49BZK@7742,4KYZV@9397	NA|NA|NA	S	Interleukin-9
